Id Centro -5	CAP_NOMBRE     Provincia	Total
24035	Rio Bermuza	Málaga	1
24036	Ibros	Jaén	1
24037	Burunchel	Jaén	1
24038	La Iruela	Jaén	1
24039	Iznatoraf	Jaén	1
24040	Jabalquinto	Jaén	1
24041	Las Infantas	Jaén	1
24043	Lahiguera	Jaén	1
24044	Higuera de Calatrava	Jaén	1
24045	Hinojares	Jaén	1
24046	Cañada Morales	Jaén	1
24047	Hornos de Segura	Jaén	1
24048	Huelma	Jaén	1
24049	Solera	Jaén	1
24050	Huesa	Jaén	1
24051	Fuensanta de Martos	Jaén	1
24052	Fuerte del Rey	Jaén	1
24053	Génave	Jaén	1
24054	La Guardia	Jaén	1
24055	Guarromán	Jaén	1
24056	Espelúy	Jaén	1
24057	Estación de Espeluy	Jaén	1
24058	Frailes	Jaén	1
24059	El Molar	Jaén	1
24060	Valdecazorla	Jaén	1
24061	Campillo	Jaén	1
24062	Camporredondo	Jaén	1
24063	Chiclana de Segura	Jaén	1
24064	Chilluévar	Jaén	1
24065	Escañuela	Jaén	1
24066	Las Navas de Tolosa	Jaén	1
24067	Castellar	Jaén	1
24068	Castillo de Locubín	Jaén	1
